"NOMBRE_ERROR"|"DEPARTAMENTO"|"MUNICIPIO"|"A01"|"IdIntegrante"|"TIPO"|"CAPITULO"|"FECHA_ARCHIVO"|"FECHA_VALIDACION"
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"NEIVA"|20497602|3834591|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"NEIVA"|20497681|3834862|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CESAR"|"AGUACHICA"|20497790|3835204|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CUNDINAMARCA"|"SUESCA"|20497896|3835597|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CÓRDOBA"|"MONTELÍBANO"|20499922|3843013|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CÓRDOBA"|"MONTELÍBANO"|20499922|3843014|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CÓRDOBA"|"LORICA"|20501912|3850376|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CUNDINAMARCA"|"PARATEBUENO"|20504380|3859064|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CÓRDOBA"|"SAN PELAYO"|20504442|3859280|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CUNDINAMARCA"|"CÁQUEZA"|20506048|3865258|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CESAR"|"AGUACHICA"|20506805|3867876|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CESAR"|"AGUACHICA"|20506805|3867877|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"TARQUI"|20511638|3885534|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CHOCÓ"|"ALTO BAUDÓ"|20517643|3907376|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CHOCÓ"|"ALTO BAUDÓ"|20517643|3907377|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"NEIVA"|20520299|3916986|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CÓRDOBA"|"PLANETA RICA"|20520524|3917851|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CUNDINAMARCA"|"SAN CAYETANO"|20521119|3920158|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CHOCÓ"|"BAJO BAUDÓ"|20523027|3926999|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CÓRDOBA"|"SAN BERNARDO DEL VIENTO"|20525505|3936198|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"NÁTAGA"|20526277|3939078|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"LA GUAJIRA"|"MAICAO"|20526864|3941329|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CHOCÓ"|"QUIBDÓ"|20529280|3950337|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CHOCÓ"|"QUIBDÓ"|20529280|3950339|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"LA GUAJIRA"|"BARRANCAS"|20530255|3954009|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"LA GUAJIRA"|"BARRANCAS"|20530255|3954010|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"NEIVA"|20533174|3964874|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"NEIVA"|20533174|3964875|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CUNDINAMARCA"|"FACATATIVÁ"|20533285|3965245|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"MAGDALENA"|"SANTA MARTA"|20534997|3971341|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CÓRDOBA"|"LORICA"|20536100|3975523|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CÓRDOBA"|"LORICA"|20536100|3975525|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"NEIVA"|20537160|3979334|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"NEIVA"|20537160|3979337|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"LA GUAJIRA"|"RIOHACHA"|20537283|3979803|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"TESALIA"|20537878|3981964|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"TESALIA"|20537878|3981966|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CHOCÓ"|"SIPÍ"|20538134|3982942|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"MAGDALENA"|"SANTA MARTA"|20541823|3996627|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"MAGDALENA"|"ALGARROBO"|20542756|3999979|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"LA GUAJIRA"|"ALBANIA"|20544330|4005900|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"LA GUAJIRA"|"BARRANCAS"|20546576|4014073|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CHOCÓ"|"SAN JOSÉ DEL PALMAR"|20546695|4014543|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"LA GUAJIRA"|"RIOHACHA"|20547202|4016390|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"MAGDALENA"|"ARIGUANÍ"|20547872|4018891|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"LA GUAJIRA"|"RIOHACHA"|20547986|4019281|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"HUILA"|"AGRADO"|20551012|4030476|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"MAGDALENA"|"FUNDACIÓN"|20557656|4055045|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CHOCÓ"|"QUIBDÓ"|20558097|4056722|"Valor admisible"|"C"|2021-09-30|2021-10-07
"CODIGO_MUNICIPIO_DANE"|"CUNDINAMARCA"|"MACHETÁ"|20558409|4057836|"Valor admisible"|"C"|2021-09-30|2021-10-07
